User_ID,Number_of_Sessions,Session_Duration,CTR,Social_Media_Shares,Conversion_Rate,Time_on_Site,Active_Months,User_Interactions,Age,Access_Time,Social,User_Engagement,Rounded_Engagement,Page View
1,16,15,0.02,73,0.12,93,1,1,33,2159,threads,0.75,1,Home
2,10,56,0.09,33,0.19,129,12,18,51,1408,threads,0.27,0,About
3,8,25,0.08,59,0.05,166,9,19,62,938,threads,0.68,1,Our_Work
4,18,9,0.09,174,0.09,131,4,9,19,1539,threads,0.91,1,Donate
5,20,12,0.06,32,0.17,87,2,21,51,1178,threads,0.52,1,Blog
6,20,29,0.09,49,0.19,71,10,15,42,747,twitter,0.73,1,Contact_Us
7,1,19,0.05,166,0.13,171,4,15,51,2163,telegram,0.45,0,Donate
8,13,52,0.08,166,0.12,110,6,3,29,225,twitter,0.3,0,About
9,20,44,0.09,54,0.07,77,6,20,32,1773,instagram,0.53,1,Our_Work
10,6,52,0.05,21,0.05,174,6,30,25,1861,telegram,0.26,0,Home
11,4,33,0.02,50,0.15,90,12,6,61,398,threads,0.89,1,Get_Involved 
12,9,45,0.09,87,0.05,99,9,9,23,1256,instagram,0.08,0,Blog
13,8,40,0.01,35,0.15,168,1,11,50,896,twitter,0.87,1,Donate
14,10,6,0.04,190,0.16,107,9,3,15,657,telegram,0.87,1,Contact_Us
15,13,59,0.09,165,0.12,62,4,13,45,1660,instagram,0.65,1,About
16,20,36,0.01,114,0.17,142,1,6,23,1958,instagram,0.83,1,Get_Involved 
17,5,36,0.01,144,0.13,108,8,16,35,1990,telegram,0.52,1,Blog
18,17,3,0.04,77,0.06,118,10,9,56,1461,instagram,0.69,1,Our_Work
19,1,25,0.08,156,0.18,72,1,14,15,1457,instagram,0.2,0,Donate
20,18,10,0.02,105,0.14,136,3,8,57,1727,telegram,0.41,0,Home
21,4,13,0.04,23,0.14,90,1,12,46,515,instagram,0.08,0,Contact_Us
22,13,28,0.02,41,0.1,131,8,2,38,508,twitter,0.08,0,Our_Work
23,9,42,0.08,172,0.08,139,12,25,28,340,twitter,0.98,1,Get_Involved 
24,2,50,0.02,81,0.14,83,3,26,65,386,threads,0.98,1,Blog
25,7,24,0.05,4,0.19,164,12,24,46,1228,instagram,0.91,1,About
26,15,23,0.07,37,0.19,105,9,8,48,2031,twitter,0.93,1,Donate
27,2,20,0.09,47,0.07,69,5,19,34,2325,threads,0.09,0,Contact_Us
28,18,55,0.05,8,0.19,98,7,23,55,1169,instagram,0.72,1,Home
29,5,2,0.02,68,0.07,73,7,20,34,535,instagram,0.58,1,Get_Involved 
30,3,12,0.08,166,0.08,106,12,19,20,1166,telegram,0.5,1,About
31,13,41,0.05,15,0.07,77,1,23,18,2035,telegram,0.21,0,Our_Work
32,13,18,0.05,44,0.2,96,3,18,50,541,telegram,0.78,1,Donate
33,20,48,0.05,14,0.14,124,11,30,34,903,threads,0.18,0,Blog
34,7,13,0.01,135,0.19,63,12,30,47,1754,telegram,0.68,1,Home
35,18,29,0.09,62,0.13,90,3,19,62,23,instagram,0.55,1,About
36,9,9,0.07,70,0.13,120,3,28,48,1413,twitter,0.84,1,Get_Involved 
37,17,9,0.02,77,0.08,105,4,8,33,1007,instagram,0.65,1,Blog
38,7,43,0.05,22,0.18,174,4,11,62,942,threads,0.97,1,Our_Work
39,1,24,0.08,134,0.15,60,1,19,22,255,threads,0.69,1,Contact_Us
40,12,37,0.03,195,0.2,79,3,10,31,816,telegram,0.21,0,Donate
41,17,9,0.03,146,0.2,139,3,20,17,1099,twitter,0.76,1,Get_Involved 
42,18,55,0.01,184,0.19,106,12,8,54,1840,telegram,0.45,0,Home
43,6,14,0.07,31,0.05,112,4,30,59,755,threads,0.47,0,About
44,2,35,0.08,180,0.18,96,7,11,36,1865,threads,0.96,1,Blog
45,10,34,0.09,69,0.16,173,7,12,36,1644,twitter,0.84,1,Contact_Us
46,18,60,0.06,175,0.12,81,8,3,46,633,threads,0.5,1,Our_Work
47,6,43,0.05,97,0.09,108,2,20,51,1168,threads,0.58,1,Donate
48,10,35,0.04,144,0.06,180,3,13,17,2352,twitter,0.46,0,Home
49,18,30,0.03,114,0.09,93,1,5,26,1560,instagram,0.78,1,Get_Involved 
50,6,32,0.03,66,0.2,127,7,19,18,1639,telegram,0.07,0,Our_Work
51,7,30,0.01,64,0.1,118,1,10,33,251,threads,0.13,0,About
52,4,38,0.06,40,0.11,115,10,22,49,281,twitter,0.65,1,Donate
53,15,40,0.08,157,0.19,134,3,9,39,573,telegram,0.27,0,Contact_Us
54,1,42,0.09,130,0.18,145,5,10,33,2125,telegram,0.7,1,Blog
55,12,52,0.03,52,0.07,101,6,16,22,2236,instagram,0.47,0,Home
56,3,60,0.05,158,0.12,134,12,25,54,126,threads,0.9,1,Our_Work
57,8,56,0.04,144,0.1,164,3,9,56,789,threads,0.07,0,Donate
58,17,23,0.05,89,0.17,156,7,15,62,611,telegram,0.16,0,Contact_Us
59,7,54,0.01,62,0.06,168,11,28,16,916,instagram,0.99,1,Blog
60,7,47,0.08,117,0.08,105,5,27,20,458,twitter,0.68,1,About
61,17,36,0.09,173,0.1,84,7,3,60,1563,threads,0.48,0,Get_Involved 
62,5,27,0.04,82,0.07,154,10,3,59,35,telegram,0.1,0,Home
63,17,25,0.03,99,0.05,129,10,4,57,1034,telegram,0.48,0,Blog
64,9,57,0.08,6,0.15,141,9,3,27,597,instagram,0.58,1,Donate
65,18,21,0.03,84,0.12,128,2,25,59,1649,twitter,0.42,0,Our_Work
66,3,13,0.07,135,0.07,64,3,29,19,952,telegram,0.71,1,Contact_Us
67,10,41,0.09,105,0.19,92,8,12,45,1242,instagram,0.2,0,About
68,2,28,0.07,54,0.17,78,3,8,38,246,instagram,0.98,1,Home
69,15,7,0.04,147,0.11,155,5,7,59,741,instagram,0.74,1,Donate
70,14,16,0.03,36,0.12,80,1,17,51,856,twitter,0.41,0,Get_Involved 
71,3,55,0.05,115,0.16,166,2,15,36,2320,twitter,0.65,1,Our_Work
72,18,28,0.01,79,0.15,174,2,24,59,456,telegram,0.13,0,Blog
73,1,2,0.01,57,0.2,66,12,1,65,1564,threads,0.46,0,Contact_Us
74,3,49,0.09,176,0.09,84,12,24,53,472,threads,0.49,0,Home
75,15,14,0.02,152,0.13,142,3,28,57,770,twitter,0.57,1,Blog
76,18,44,0.05,61,0.05,103,2,28,34,1782,instagram,0.92,1,Our_Work
77,3,46,0.08,30,0.11,142,9,9,28,1667,twitter,0.42,0,Get_Involved 
78,19,34,0.04,20,0.07,138,3,9,18,1008,instagram,0.15,0,Donate
79,18,50,0.01,148,0.07,155,12,13,65,1721,telegram,0.02,0,About
80,4,43,0.01,7,0.16,171,8,28,64,561,twitter,0.47,0,Contact_Us
81,8,7,0.03,130,0.09,84,12,21,63,635,telegram,0.56,1,Get_Involved 
82,19,55,0.08,185,0.15,162,9,15,65,1560,threads,0.21,0,Home
83,6,7,0.09,108,0.12,126,10,2,17,1454,telegram,0.4,0,Blog
84,20,9,0.02,194,0.13,85,1,30,46,334,twitter,0.25,0,Donate
85,14,10,0.05,34,0.2,108,9,5,40,730,instagram,0.28,0,About
86,19,60,0.1,44,0.1,123,1,12,27,1490,threads,0.66,1,Our_Work
87,19,26,0.08,119,0.11,83,1,25,37,368,telegram,0.32,0,Contact_Us
88,3,59,0.06,112,0.19,103,9,3,41,751,threads,0.16,0,Home
89,3,16,0.04,1,0.18,118,4,15,45,369,instagram,0.82,1,Get_Involved 
90,1,13,0.09,140,0.13,61,12,30,38,1237,twitter,0.24,0,Our_Work
91,3,30,0.06,131,0.14,143,12,9,21,1303,threads,0.11,0,Blog
92,4,60,0.1,158,0.14,96,6,11,17,487,threads,0.03,0,Donate
93,7,34,0.04,171,0.15,107,3,3,43,714,twitter,0.67,1,About
94,17,54,0.06,35,0.19,164,10,10,17,367,instagram,0.46,0,Contact_Us
95,12,2,0.08,5,0.06,128,7,29,21,1381,telegram,0.65,1,Home
96,3,21,0.04,43,0.18,136,6,7,40,2245,twitter,0.1,0,Blog
97,5,40,0.07,116,0.16,104,7,10,59,2075,telegram,0.89,1,Get_Involved 
98,7,8,0.05,195,0.1,142,1,13,25,606,telegram,0.53,1,Donate
99,3,27,0.06,174,0.12,132,8,5,17,963,telegram,0.93,1,Our_Work
100,17,41,0.03,48,0.1,145,4,26,53,1495,telegram,0.59,1,Contact_Us
